id,type,name,n,year
759,bk,best nest,364,2018
11200,bk,Fish is fish,158,2018
15579,bk,Sneetches and other stories,327,2018
15585,bk,Corduroy,256,2018
15645,bk,One fish two fish red fish blue fish,527,2018
15890,bk,Horton hatches the egg,194,2018
15891,bk,If I ran the circus,228,2018
28310,bk,Lorax,457,2018
29356,bk,George and Martha,138,2018
36135,bk,Theres a wocket in my pocket,290,2018
45770,bk,Did I ever tell you how lucky you are,338,2018
51814,bk,Richard Scarrys Cars and trucks and things that go,352,2018
53896,bk,Richard Scarrys best Mother Goose ever,210,2018
55833,bk,Marvin K Mooney will you please go now,298,2018
57482,bk,Alexander and the terrible horrible no good very bad day,214,2018
69127,bk,snowy day,300,2018
70516,bk,giving tree,334,2018
70622,bk,Whistle for Willie,232,2018
71960,bk,bears picnic,427,2018
81369,bk,Rosies walk,114,2018
87972,bk,foot book,171,2018
89892,bk,Why mosquitoes buzz in peoples ears a West African tale,204,2018
92742,bk,Frog and toad all year,318,2018
97921,bk,Miss Nelson is missing,121,2018
100846,bk,Are you my mother,444,2018
101004,bk,Go dog go,558,2018
101116,bk,Chicken soup with rice a book of months,112,2018
105411,bk,fish out of water,280,2018
105435,bk,Amelia Bedelia,280,2018
109468,bk,carrot seed,223,2018
109469,bk,Harry by the sea,110,2018
109548,bk,pocket for Corduroy story and pictures,250,2018
110418,bk,Madelines rescue,227,2018
112545,bk,And to think that I saw it on Mulberry street,216,2018
112556,bk,kings stilts,118,2018
112603,bk,McElligots pool,271,2018
112620,bk,Bartholomew and the oobleck,227,2018
112659,bk,Horton hears a Who,316,2018
112798,bk,Dr Seusss ABC,337,2018
112845,bk,Fox in socks,426,2018
114035,bk,Curious George gets a medal,268,2018
115092,bk,Freight train,306,2018
115497,bk,Cloudy with a chance of meatballs,165,2018
116060,bk,Curious George takes a job,358,2018
116633,bk,Scott standard postage stamp catalogue,172,2018
123246,bk,fly went by,309,2018
127521,bk,Ten apples up on top,443,2018
128776,bk,Days with Frog and Toad,348,2018
131257,bk,Make way for ducklings,241,2018
131338,bk,Happy birthday to you,190,2018
133132,bk,Sam and the firefly,305,2018
133736,bk,Time of wonder,155,2018
134696,bk,Amelia Bedelia helps out,189,2018
135129,bk,cat in the hat comes back,341,2018
135501,bk,Green eggs and ham,564,2018
135553,bk,Scrambled eggs super,240,2018
136493,bk,wrinkle in time,579,2018
136498,bk,Thidwick the big hearted moose,178,2018
136573,bk,On beyond zebra,207,2018
143133,bk,tree is nice,103,2018
143185,bk,Frederick,160,2018
144554,bk,Truck,104,2018
148452,bk,I had trouble in getting to Solla Sollew,222,2018
159220,bk,Berenstain Bears and the missing dinosaur bone,260,2018
200075,bk,Outside over there,163,2018
219997,bk,chair for my mother,200,2018
240131,bk,Ten nine eight,136,2018
297861,bk,BFG,226,2018
307080,bk,Doctor De Soto,208,2018
359638,bk,School bus,159,2018
362314,bk,butter battle book,255,2018
375312,bk,very busy spider,340,2018
377433,bk,Amelia Bedelia goes camping,292,2018
390421,bk,King Bidgoods in the bathtub,108,2018
398149,bk,Caps for sale a tale of a peddler some monkeys and their monkey business,277,2018
411495,bk,Madeline in London,219,2018
411729,bk,Yertle the turtle and other stories,336,2018
411743,bk,Hop on Pop,453,2018
420513,bk,cat in the hat,420,2018
421298,bk,What color is your parachute,173,2018
425139,bk,Sheep in a jeep,137,2018
428263,bk,Growing vegetable soup,121,2018
472938,bk,Pippi Longstocking,137,2018
479991,bk,Owl moon,216,2018
494097,bk,Planting a rainbow,238,2018
501338,bk,Matilda,138,2018
502934,bk,I want to be an astronaut,179,2018
504564,bk,Tacky the penguin,100,2018
512330,bk,Oh the thinks you can think,301,2018
520354,bk,Strega Nona an old tale,165,2018
526232,bk,Color zoo,145,2018
526272,bk,Mouse paint,108,2018
528082,bk,Eating the alphabet fruits and vegetables from A to Z,243,2018
538922,bk,true story of the 3 little pigs,141,2018
545640,bk,Were going on a bear hunt,131,2018
545653,bk,Chicka chicka boom boom,551,2018
580168,bk,More more more said the baby 3 love stories,115,2018
580870,bk,Color farm,136,2018
597075,bk,very quiet cricket,150,2018
600818,bk,I am not going to get up today,316,2018
607569,bk,Polar bear polar bear what do you hear,275,2018
611424,bk,If you give a moose a muffin,183,2018
614345,bk,Amazing Grace,152,2018
625142,bk,I can read with my eyes shut,309,2018
626293,bk,Abuela,113,2018
628651,bk,little mouse the red ripe strawberry and the big hungry bear,157,2018
632096,bk,Frog and Toad are friends,455,2018
638259,bk,Tuesday,146,2018
704021,bk,Old hat new hat,310,2018
706087,bk,Mr Brown can moo Can you,244,2018
710573,bk,Lyle Lyle crocodile,138,2018
713656,bk,Harold and the purple crayon,327,2018
713808,bk,story of Babar the little elephant,231,2018
721331,bk,three Billy goats Gruff,133,2018
754578,bk,best American short stories,153,2018
769638,bk,Hunches in bunches,200,2018
770757,bk,story of Ferdinand,287,2018
770918,bk,Wheres Spot,148,2018
770947,bk,Blueberries for Sal,314,2018
783728,bk,Curious George rides a bike,282,2018
911011,bk,Madeline and the bad hat,123,2018
1107917,bk,Oh the places youll go,379,2018
1126205,bk,very hungry caterpillar,507,2018
1250832,bk,Chrysanthemum,175,2018
1252774,bk,Brown bear brown bear what do you see,241,2018
1256814,bk,three bears,132,2018
1260303,bk,500 hats of Bartholomew Cubbins,158,2018
1279331,bk,Mirette on the high wire,104,2018
1280514,bk,Stinky Cheese Man and other fairly stupid tales,161,2018
1281260,bk,rainbow fish,139,2018
1282284,bk,Froggy gets dressed,241,2018
1292605,bk,Owl babies,117,2018
1297775,bk,giver,173,2018
1304871,bk,Stellaluna,199,2018
1321114,bk,Bread and jam for Frances,228,2018
1329611,bk,Owen,179,2018
1331329,bk,Everyone poops,100,2018
1331986,bk,In the small small pond,128,2018
1337501,bk,Go away big green monster,208,2018
1349696,bk,Good night Gorilla,153,2018
1602652,bk,Wayside School gets a little stranger,141,2018
1607434,bk,Night of the Ninjas,277,2018
1632115,bk,very lonely firefly,190,2018
1649192,bk,Garfield tons of fun,245,2018
1655363,bk,Officer Buckle and Gloria,188,2018
1659144,bk,golden compass,209,2018
1672125,bk,lion the witch and the wardrobe,249,2018
1677984,bk,paperboy,105,2018
1679744,bk,Hallo wiener,133,2018
1709330,bk,Froggy goes to school,130,2018
1709855,bk,Lillys purple plastic purse,191,2018
1713583,bk,Miss Bindergarten gets ready for kindergarten,102,2018
1714749,bk,My many colored days,166,2018
1716490,bk,Midnight on the moon,262,2018
1731862,bk,grouchy ladybug,292,2018
1772659,bk,magicians nephew,151,2018
1793290,bk,Lions at lunchtime,251,2018
1793291,bk,Polar bears past bedtime,255,2018
1815315,bk,Day of the Dragon King,260,2018
1830704,bk,Three tales of my fathers dragon,248,2018
1831517,bk,Frog and toad together,401,2018
1842723,bk,Harry Potter and the sorcerers stone,624,2018
1847063,bk,No David,180,2018
1848868,bk,Hour of the Olympics,272,2018
1856055,bk,Petes a pizza,173,2018
1856063,bk,If you give a pig a pancake,226,2018
1883164,bk,Interpreter of maladies stories,104,2018
1886970,bk,Harry Potter and the chamber of secrets,402,2018
1894708,bk,Harry Potter and the prisoner of Azkaban,400,2018
1896916,bk,When Sophie gets angry really really angry,129,2018
1906140,bk,David goes to school,160,2018
1913929,bk,Bud not Buddy,106,2018
1918776,bk,bad beginning,363,2018
1918777,bk,reptile room,235,2018
1921857,bk,power of now a guide to spiritual enlightenment,221,2018
1923072,bk,Guinness world records,589,2018
1928264,bk,Joseph had a little overcoat,122,2018
1931979,bk,wide window,202,2018
1931980,bk,miserable mill,158,2018
1934916,bk,Captain Underpants and the perilous plot of Professor Poopypants the fourth epic novel,415,2018
1943938,bk,Click clack moo cows that type,269,2018
1950076,bk,austere academy,173,2018
1953610,bk,Garfield hogs the spotlight,510,2018
1953753,bk,Does a kangaroo have a mother too,157,2018
1953891,bk,seals on the bus,100,2018
1965109,bk,Harry Potter and the goblet of fire,366,2018
1967629,cd,Harry Potter and the goblet of fire,153,2018
1967866,bk,How do Dinosaurs say good night,199,2018
1971693,cd,Harry Potter and the sorcerers stone,257,2018
1972538,bk,Wemberly worried,152,2018
1978349,bk,Firefighters A to Z,199,2018
1981307,dvd,Emma,154,2018
1998277,bk,Olivia,588,2018
2000301,bk,I will never not ever eat a tomato,165,2018
2001915,dvd,Annie Hall,123,2018
2027636,bk,It looked like spilt milk,145,2018
2032033,bk,ersatz elevator,139,2018
2041541,dvd,Dinosaur,305,2018
2048900,bk,Artemis Fowl,107,2018
2048902,bk,vile village,147,2018
2054039,bk,Of mice and men,128,2018
2063543,bk,three pigs,218,2018
2067216,bk,Captain Underpants and the wrath of the wicked Wedgie Woman the fifth epic novel,531,2018
2068630,bk,Two little trains,111,2018
2070008,bk,hostile hospital,140,2018
2073984,bk,Olivia saves the circus,226,2018
2079893,bk,Its okay to be different,197,2018
2084660,bk,My car,215,2018
2093921,bk,Garfield at large,795,2018
2100808,bk,Bear snores on,242,2018
2111105,dvd,Fatal attraction,111,2018
2114582,dvd,Sense and sensibility,110,2018
2115495,cd,Pimsleur language programs French I A the complete course,144,2018
2119387,bk,Duck on a bike,161,2018
2119771,dvd,Notting Hill,115,2018
2119773,dvd,O brother where art thou,141,2018
2122070,dvd,Lord of the rings The fellowship of the ring,166,2018
2122751,dvd,Royal Tenenbaums,149,2018
2123856,bk,Giggle giggle quack,168,2018
2124013,bk,I stink,311,2018
2126678,cd,Spanish Latin American the short course,126,2018
2127084,cd,Pimsleur language programs Spanish 1 A the complete course,204,2018
2127085,cd,Pimsleur language programs Spanish II A the complete course,141,2018
2128858,dvd,Black Hawk down,103,2018
2128864,dvd,Gosford Park,114,2018
2130690,dvd,Rushmore,101,2018
2130960,bk,If you take a mouse to school,201,2018
2131023,bk,Good morning gorillas,239,2018
2132099,dvd,Dead man,207,2018
2132286,dvd,Funny girl,107,2018
2133461,dvd,From here to eternity,115,2018
2133850,bk,carnivorous carnival,126,2018
2134777,dvd,Psycho,195,2018
2138346,cd,Pimsleur language programs Spanish 1 B the complete course,161,2018
2138347,cd,Pimsleur language programs Spanish II B the complete course,133,2018
2140303,bk,Millions of cats,136,2018
2141961,bk,Slowly slowly slowly said the sloth,195,2018
2142284,bk,Peters chair,198,2018
2143650,bk,Thanksgiving on Thursday,213,2018
2146728,bk,Harry the dirty dog,180,2018
2147521,dvd,importance of being Earnest,119,2018
2147736,dvd,Pulp fiction,137,2018
2149100,dvd,sopranos the complete first season,136,2018
2153507,bk,Flap your wings,311,2018
2163248,dvd,Sweet home Alabama,103,2018
2163708,bk,How do dinosaurs get well soon,138,2018
2168474,dvd,Moonlight mile,128,2018
2174634,bk,Dont let the pigeon drive the bus,824,2018
2175164,dvd,Good Will Hunting,139,2018
2176406,bk,bears vacation,412,2018
2176549,dvd,About Schmidt,102,2018
2176667,bk,Harry Potter and the Order of the Phoenix,352,2018
2176904,dvd,remains of the day,211,2018
2177583,dvd,Spirited away,366,2018
2186193,dvd,Catch me if you can,156,2018
2186552,dvd,Gangs of New York,149,2018
2188039,dvd,Treasure planet,105,2018
2188169,dvd,Homeward bound the incredible journey,157,2018
2188409,dvd,hunchback of Notre Dame,336,2018
2190741,dvd,Kate Leopold,112,2018
2191398,cd,Harry Potter and the Order of the Phoenix,140,2018
2191771,bk,city of Ember,136,2018
2192562,dvd,lord of the rings the two towers,161,2018
2193812,bk,tale of Despereaux being the story of a mouse a princess some soup and a spool of thread,133,2018
2195553,bk,slippery slope,163,2018
2196847,bk,Panda bear panda bear what do you see,265,2018
2200531,dvd,Road to Perdition,137,2018
2200955,dvd,Minority report,110,2018
2201752,dvd,mummy,123,2018
2201764,dvd,Shawshank redemption,125,2018
2204041,bk,Diary of a worm,156,2018
2204088,bk,Richard Scarrys A day at the fire station,141,2018
2204315,bk,Captain Underpants and the big bad battle of the Bionic Booger Boy part 1 the night of the nasty nostril nuggets the sixth epic novel,571,2018
2206263,dvd,Italian job,135,2018
2206441,bk,Olivia and the missing toy,602,2018
2208074,dvd,Matrix reloaded,113,2018
2209551,bk,Haunted castle on Hallows Eve,170,2018
2209996,dvd,Red dragon,116,2018
2212941,bk,Captain Underpants and the big bad battle of the Bionic Booger Boy part 2 the revenge of the ridiculous Robo Boogers the seventh epic novel,728,2018
2213438,bk,little island,186,2018
2214075,bk,Im mighty,245,2018
2214524,dvd,Confessions of a dangerous mind,152,2018
2214605,dvd,Evita,113,2018
2217604,bk,Gregor the Overlander,166,2018
2217623,dvd,Seabiscuit,121,2018
2217641,dvd,Roman holiday,100,2018
2217924,bk,family book,177,2018
2226716,dvd,Lost in translation,118,2018
2227904,bk,shadow of the wind,162,2018
2231893,bk,Garfield survival of the fattest,283,2018
